Sr.No.,Adsorbate,Adsorbent,Pressure(bar),Composition(mmolfraction),Adsorption (m mol/g)
1,CO2,Ammonium ZSM-5 Zeolite,0,1,0
2,CO2,Ammonium ZSM-5 Zeolite,0.21,1,1.08
3,CO2,Ammonium ZSM-5 Zeolite,0.67,1,1.85
4,CO2,Ammonium ZSM-5 Zeolite,1.36,1,2.3
5,CO2,Ammonium ZSM-5 Zeolite,2.21,1,2.57
6,CO2,Ammonium ZSM-5 Zeolite,3.14,1,2.74
7,CO2,Ammonium ZSM-5 Zeolite,4.11,1,2.85
8,CO2,Ammonium ZSM-5 Zeolite,5.1,1,2.94
9,CO2,Ammonium ZSM-5 Zeolite,6.11,1,3.01
10,CO2,Ammonium ZSM-5 Zeolite,7.12,1,3.06
11,CO2,Ammonium ZSM-5 Zeolite,8.13,1,3.11
12,CO2,Ammonium ZSM-5 Zeolite,9.15,1,3.14
13,CO2,Ammonium ZSM-5 Zeolite,10.17,1,3.18
14,CO2,Ammonium ZSM-5 Zeolite,11.18,1,3.21
15,CO2,Ammonium ZSM-5 Zeolite,12.24,1,3.23
16,CO2,Ammonium ZSM-5 Zeolite,13.26,1,3.26
17,CO2,Ammonium ZSM-5 Zeolite,14.3,1,3.28
18,CO2,Ammonium ZSM-5 Zeolite,15.29,1,3.3
19,CO2,Ammonium ZSM-5 Zeolite,16.32,1,3.32
20,CO2,Ammonium ZSM-5 Zeolite,17.32,1,3.34
21,CO2,Ammonium ZSM-5 Zeolite,18.35,1,3.36
22,CO2,Ammonium ZSM-5 Zeolite,19.36,1,3.36
23,CO2,Ammonium ZSM-5 Zeolite,20.4,1,3.38
24,CO2,Ammonium ZSM-5 Zeolite,21.46,1,3.4
25,CO2,Ammonium ZSM-5 Zeolite,22.5,1,3.4
26,CO2,Ammonium ZSM-5 Zeolite,23.51,1,3.42
27,CO2,Ammonium ZSM-5 Zeolite,24.38,1,3.42
28,CO2,Ammonium ZSM-5 Zeolite,25.48,1,3.43
29,CO2,Ammonium ZSM-5 Zeolite,26.59,1,3.44
30,CO2,Ammonium ZSM-5 Zeolite,27.64,1,3.44
31,CO2,Ammonium ZSM-5 Zeolite,28.55,1,3.46
32,CO2,Ammonium ZSM-5 Zeolite,29.49,1,3.45
33,CO2,Ammonium ZSM-5 Zeolite,30.51,1,3.47
34,CO2,Ammonium ZSM-5 Zeolite,31.52,1,3.47
35,CO2,Ammonium ZSM-5 Zeolite,32.42,1,3.48
36,CO2,Ammonium ZSM-5 Zeolite,33.53,1,3.48
37,CO2,Ammonium ZSM-5 Zeolite,34.58,1,3.49
38,CO2,Ammonium ZSM-5 Zeolite,35.55,1,3.5
